label,signal,n,mean_5d,hit_rate_5d,sharpe_5d,mean,hit_rate,sharpe,mean_excess_5d,hit_rate_excess_5d,sharpe_excess_5d,mean_excess,hit_rate_excess,sharpe_excess,conf_mean,conf_std
Consensus,Buy,2752,,,,1.679,47.6,0.49,,,,0.353,41.8,0.115,,
GoldenCross,Buy,471,,,,2.374,51.6,0.596,,,,0.798,48.0,0.222,,
cond1,Buy,22,0.098,40.9,0.114,8.636,63.6,1.958,-0.697,45.5,-0.803,7.011,59.1,1.596,75.0,0.0
cond1,Neutral,608,0.937,53.8,1.068,2.81,55.3,0.763,0.188,47.9,0.242,0.771,45.9,0.223,55.0,0.0
cond1,Sell,90,2.218,42.2,1.952,3.855,50.0,0.854,1.783,45.6,1.802,2.297,45.6,0.578,75.0,0.0
cond1,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,58.1,7.3
cond2,Buy,164,1.358,57.9,1.59,3.102,57.9,0.884,0.772,53.7,0.931,1.847,50.6,0.533,73.4,3.7
cond2,Neutral,81,-0.265,44.4,-0.372,3.209,58.0,1.126,-0.667,37.0,-1.156,1.503,54.3,0.608,56.2,2.8
cond2,Sell,475,1.2,44.8,1.249,3.109,46.1,0.763,0.393,51.2,0.47,0.853,54.9,0.227,70.8,4.9
cond2,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,69.8,6.7
cond3,Buy,317,0.854,54.3,1.017,3.058,56.5,0.887,0.263,49.5,0.342,1.235,49.8,0.378,74.9,2.6
cond3,Neutral,66,-0.969,37.9,-1.472,1.269,47.0,0.499,-1.436,34.8,-2.585,-0.427,47.0,-0.186,58.0,4.1
cond3,Sell,337,1.675,42.4,1.661,3.538,44.5,0.815,0.804,49.6,0.912,1.384,54.9,0.345,71.9,4.7
cond3,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,71.9,6.0
cond4,Buy,323,0.669,52.6,0.794,2.945,56.3,0.865,0.065,46.4,0.086,1.192,49.5,0.364,75.3,2.1
cond4,Neutral,28,0.873,57.1,1.702,1.663,50.0,0.712,0.59,53.6,1.229,0.151,42.9,0.066,57.3,3.7
cond4,Sell,369,1.438,45.0,1.448,3.382,45.3,0.796,0.601,49.9,0.685,1.194,54.2,0.308,74.6,2.0
cond4,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,74.2,4.0
cond4_no_reports,Buy,228,0.746,55.7,0.891,2.901,54.4,0.808,0.013,50.4,0.016,1.192,48.2,0.339,75.0,1.6
cond4_no_reports,Neutral,27,-0.067,51.9,-0.13,0.295,55.6,0.176,-0.208,44.4,-0.468,-1.014,40.7,-0.639,55.6,2.1
cond4_no_reports,Sell,465,1.297,46.0,1.343,3.39,44.1,0.843,0.563,52.0,0.668,1.259,52.7,0.343,74.4,2.4
cond4_no_reports,전체,720,1.071,53.8,1.172,3.119,54.9,0.815,0.36,48.6,0.444,1.152,47.4,0.323,73.9,4.2
