bucket,cond,signal,n,share_pct,abs_mean,abs_median,abs_hit,excess_mean,excess_median,excess_hit,bench_abs,bench_excess
2023,cond1,Buy,7,2.9,4.229,5.87,71.4,1.907,0.9,57.1,3.01,1.24
2023,cond1,Sell,33,13.8,5.585,-0.27,51.5,3.635,0.87,48.5,3.01,1.24
2023,cond2,Buy,54,22.5,2.906,1.97,57.4,1.922,0.1,50.0,3.01,1.24
2023,cond2,Sell,145,60.4,3.18,1.25,42.1,1.135,-0.32,52.4,3.01,1.24
2023,cond3,Buy,99,41.2,2.375,1.85,59.6,1.015,-0.29,48.5,3.01,1.24
2023,cond3,Sell,109,45.4,4.138,1.29,39.4,2.086,-0.32,51.4,3.01,1.24
2023,cond4,Buy,97,40.4,1.855,0.72,55.7,0.702,-0.84,46.4,3.01,1.24
2023,cond4,Sell,124,51.7,4.158,1.72,39.5,1.768,0.37,49.2,3.01,1.24
2023,cond4_no_reports,Buy,55,22.9,1.444,0.0,49.1,0.615,-1.4,43.6,3.01,1.24
2023,cond4_no_reports,Sell,162,67.5,3.9,2.32,37.7,1.696,0.54,48.1,3.01,1.24
2024,cond1,Buy,10,4.2,14.814,9.58,60.0,14.686,6.73,70.0,1.54,2.29
2024,cond1,Sell,30,12.5,-0.326,-0.83,60.0,0.592,1.03,46.7,1.54,2.29
2024,cond2,Buy,61,25.4,2.384,2.84,62.3,3.253,3.81,60.7,1.54,2.29
2024,cond2,Sell,157,65.4,1.2,-1.02,58.6,1.843,-0.47,52.2,1.54,2.29
2024,cond3,Buy,109,45.4,1.641,0.66,55.0,2.456,1.91,60.6,1.54,2.29
2024,cond3,Sell,116,48.3,1.763,-0.98,57.8,2.429,-0.87,54.3,1.54,2.29
2024,cond4,Buy,114,47.7,2.035,1.24,55.3,2.719,2.71,57.9,1.54,2.29
2024,cond4,Sell,119,49.8,1.229,-0.93,58.0,2.173,-0.56,51.3,1.54,2.29
2024,cond4_no_reports,Buy,86,36.0,2.471,1.95,60.5,3.097,2.91,60.5,1.54,2.29
2024,cond4_no_reports,Sell,151,63.2,1.185,-0.93,58.3,2.02,-0.31,51.0,1.54,2.29
2025,cond1,Buy,5,2.1,2.449,3.26,60.0,-1.191,-3.91,40.0,4.81,-0.07
2025,cond1,Sell,27,11.2,6.387,7.56,37.0,2.556,3.69,40.7,4.81,-0.07
2025,cond2,Buy,49,20.4,4.212,2.27,53.1,0.012,-2.87,38.8,4.81,-0.07
2025,cond2,Sell,173,72.1,4.783,1.85,38.2,-0.282,-2.07,59.5,4.81,-0.07
2025,cond3,Buy,110,45.8,5.021,1.35,54.5,0.155,-2.97,40.0,4.81,-0.07
2025,cond3,Sell,111,46.2,4.808,2.49,35.1,-0.354,-1.83,58.6,4.81,-0.07
2025,cond4,Buy,112,46.7,4.814,1.8,58.0,0.061,-1.84,43.8,4.81,-0.07
2025,cond4,Sell,125,52.1,4.652,2.27,39.2,-0.303,-2.78,62.4,4.81,-0.07
2025,cond4_no_reports,Buy,86,36.0,4.373,0.92,52.3,-0.25,-2.79,39.5,4.81,-0.07
2025,cond4_no_reports,Sell,151,63.2,5.047,3.08,37.1,0.053,-1.99,58.9,4.81,-0.07
